delivery_id;delivery_partner;package_type;vehicle_type;delivery_mode;region;weather_condition;distance_km;package_weight_kg;delivery_time_hours;expected_time_hours;delayed;delivery_status;delivery_rating;delivery_cost
250.99;delhivery;automobile parts;bike;same day;west;clear;297.00.00;46.96;1970-01-01 00:00:00.000000008;1970-01-01 00:00:00.000000008;no;delivered;3;16.327.205.999.999.900
250.99;xpressbees;cosmetics;ev van;express;central;cold;89.06.00;47.39.00;1970-01-01 00:00:00.000000002;1970-01-01 00:00:00.000000003;no;delivered;5;640.17.00
250.99;shadowfax;groceries;truck;two day;east;rainy;273.05.00;26.89;1970-01-01 00:00:00.000000010;1970-01-01 00:00:00.000000016;no;delivered;4;1448.17.00
250.99;dhl;electronics;ev van;same day;east;cold;269.07.00;0,547916667;1970-01-01 00:00:00.000000006;1970-01-01 00:00:00.000000008;no;delivered;3;1486.57.00
250.99;dhl;clothing;van;two day;north;foggy;256.07.00;37.02.00;1970-01-01 00:00:00.000000009;1970-01-01 00:00:00.000000016;no;delivered;4;1394.56.00
250.99;amazon logistics;documents;ev bike;express;west;rainy;48.04.00;33.15.00;1970-01-01 00:00:00.000000004;1970-01-01 00:00:00.000000002;yes;delayed;3;391.45.00
250.99;delhivery;groceries;scooter;same day;central;clear;198.03.00;43.79;1970-01-01 00:00:00.000000006;1970-01-01 00:00:00.000000008;no;delivered;3;1222.87
250.99;xpressbees;fragile items;van;same day;north;cold;114.06.00;42.63;1970-01-01 00:00:00.000000004;1970-01-01 00:00:00.000000008;no;delivered;3;800.89
250.99;blue dart;clothing;van;same day;south;hot;142.04.00;14.06;1970-01-01 00:00:00.000000005;1970-01-01 00:00:00.000000008;no;delivered;5;854.18.00
250.99;delhivery;pharmacy;truck;same day;east;foggy;47.01.00;29.28.00;1970-01-01 00:00:00.000000003;1970-01-01 00:00:00.000000008;no;delivered;5;423.34.00
250.99;fedex;groceries;scooter;same day;east;cold;293.02.00;22.05;1970-01-01 00:00:00.000000005;1970-01-01 00:00:00.000000008;no;delivered;4;1632.15.00
250.99;ecom express;electronics;truck;two day;east;cold;80.04.00;46.48.00;1970-01-01 00:00:00.000000003;1970-01-01 00:00:00.000000016;no;delivered;5;541.44.00
250.99;xpressbees;pharmacy;ev van;two day;north;rainy;257.07.00;20.56;1970-01-01 00:00:00.000000008;1970-01-01 00:00:00.000000016;no;delivered;4;1350.18.00
250.99;xpressbees;cosmetics;bike;express;east;stormy;19.00;03.36;1970-01-01 00:00:00.000000006;1970-01-01 00:00:00.000000002;yes;failed;1;155.08.00
250.99;xpressbees;automobile parts;ev bike;two day;east;stormy;237.09.00;24.59.00;1970-01-01 00:00:00.000000012;1970-01-01 00:00:00.000000016;no;delivered;3;1263.27.00
250.99;amazon logistics;furniture;ev van;express;north;hot;239.03.00;0,504861111;1970-01-01 00:00:00.000000008;1970-01-01 00:00:00.000000006;yes;delayed;3;1281.51.00
250.99;fedex;documents;bike;standard;west;stormy;79.00.00;0,050694444;1970-01-01 00:00:00.000000010;1970-01-01 00:00:00.000000024;no;delivered;5;397.19.00
250.99;blue dart;fragile items;ev bike;standard;central;rainy;170.07.00;45.62;1970-01-01 00:00:00.000000011;1970-01-01 00:00:00.000000024;no;delivered;5;990.36.00
250.99;amazon logistics;documents;van;same day;north;rainy;90.00.00;33.07.00;1970-01-01 00:00:00.000000004;1970-01-01 00:00:00.000000008;no;delivered;3;651.01.00
250.99;fedex;cosmetics;truck;express;north;rainy;64.00.00;06.03;1970-01-01 00:00:00.000000007;1970-01-01 00:00:00.000000003;yes;failed;2;388.09.00
250.99;fedex;automobile parts;scooter;two day;east;foggy;185.09.00;19.01;1970-01-01 00:00:00.000000006;1970-01-01 00:00:00.000000016;no;delivered;4;986.08.00
250.99;dhl;electronics;scooter;two day;west;stormy;217.09.00;14.08;1970-01-01 00:00:00.000000009;1970-01-01 00:00:00.000000016;no;delivered;4;1131.74
